"LastWriteTime","Length","FullName"
"24-8-2026 15:26:17","2179","C:\Users\joepk\Downloads\microgreens-erp\docs\Ai\microgreens-erp-ai-context\AI_CONTEXT.md"
"24-8-2026 15:27:30","1275","C:\Users\joepk\Downloads\microgreens-erp\docs\Ai\microgreens-erp-ai-context\AI_CONTEXT.zip"
"24-8-2026 20:36:07","7296","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\Preface.txt"
"24-8-2026 20:56:15","7871","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\00_engineering-knowledge-map.md"
"24-8-2026 21:06:52","5559","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\00_engineering-principles.md"
"24-8-2026 21:22:01","3063","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\02_water-structure-and-molecular-change.md"
"24-8-2026 21:23:45","2500","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions\03-preservation-as-process-control.md"
"24-8-2026 21:23:45","2500","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions-backup\03-preservation-as-process-control.md"
"24-8-2026 21:24:26","5218","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions\04-freeze-drying-as-a-coupled-system.md"
"24-8-2026 21:24:26","5218","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions-backup\04-freeze-drying-as-a-coupled-system.md"
"24-8-2026 21:25:04","4740","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions-backup\05-preservation-chain.md"
"24-8-2026 21:25:04","4740","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions\05-preservation-chain.md"
"25-8-2026 11:14:53","2349","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions-backup\02-water-structure-and-molecular-change.md"
"25-8-2026 11:14:53","2349","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions\02-water-structure-and-molecular-change.md"
"25-8-2026 11:53:53","3345","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\03_preservation-as-process-control.md"
"25-8-2026 12:12:57","4009","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions\01_biological-change-after-harvest.md"
"25-8-2026 12:12:57","4009","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions-backup\01_biological-change-after-harvest.md"
"25-8-2026 12:12:57","22882","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions\01_freeze-drying-as-controlled-water-transport.md"
"25-8-2026 12:12:57","22882","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\engineering-extensions-backup\01_freeze-drying-as-controlled-water-transport.md"
"25-8-2026 12:12:57","39776","C:\Users\joepk\Downloads\microgreens-erp\docs\02_understanding-how-things-work\project-standard.md"
"25-8-2026 12:12:57","33510","C:\Users\joepk\Downloads\microgreens-erp\docs\AI_REPOSITORY_AUDIT.txt"
"25-8-2026 12:14:44","7536","C:\Users\joepk\Downloads\microgreens-erp\docs\README.md"
"25-8-2026 12:24:16","17409","C:\Users\joepk\Downloads\microgreens-erp\docs\00_project_handbook.md"
