"Chapter","Title","Biological state","Water availability","Temperature","Chemical change","Microbial activity","Structure","Time","Energy","Mass transport","Preservation","Process control","Measurement","Validation","System thinking","Logistics","Packaging"
"01","Hoofdstuk 1 — Wat behouden we werkelijk?","0","20","0","0","0","0","0","0","3","0","0","0","0","0","3","0"
"02","Hoofdstuk 2 — Waarom verdwijnt de biologische organisatie?","1","14","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"03","Hoofdstuk 3 — Wat bepaalt de snelheid van biologische verandering?","1","103","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
"04","Hoofdstuk 4 — Waarom verandert temperatuur de biologie?","1","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05","Hoofdstuk 5 — Waarom blijft geoogst voedsel ademen?","0","13","0","0","0","0","0","5","1","0","0","0","0","0","1","0"
"06","Hoofdstuk 6 — Wie voert het levenswerk uit?","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07","Hoofdstuk 7 — Waarom vereist het leven voortdurend onderhoud?","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08","Hoofdstuk 8 — Waarom verandert oxidatie het leven?","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"09","Hoofdstuk 9 — Waarom groeien micro-organismen?","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Hoofdstuk 10 — Waarom verliest voedsel water?","0","59","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Hoofdstuk 11 — Waarom verandert voedsel zijn structuur?","0","33","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"12","Hoofdstuk 12 — Waarom veranderen moleculen?","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Hoofdstuk 13 — Waarom zijn eiwitten zo belangrijk?","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Hoofdstuk 14 — Waarom bouwt het leven koolhydraten op?","1","8","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"15","Hoofdstuk 15 — Waarom bouwt het leven lipiden op?","1","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"16","Hoofdstuk 16 — Waarom produceert het leven kleur?","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","System.Object[]","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","System.Object[]","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Deel III — Technisch behoud","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"20","Hoofdstuk 20 — Waarom bewaart het drogen voedsel?","0","67","0","0","0","0","0","0","1","2","0","0","0","0","1","0"
"21","Hoofdstuk 21 — Waarom bewaart koeling voedsel?","0","29","1","0","0","0","0","0","1","1","0","0","0","0","1","0"
"22","Hoofdstuk 22 — Waarom conserveert invriezen voedsel?","0","42","1","0","0","0","0","0","0","2","0","0","0","0","0","0"
"23","Hoofdstuk 23 — Wat gebeurt er als voedsel ontdooit?","0","33","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"24","Hoofdstuk 24 — Waarom conserveert vriesdrogen voedsel?","0","61","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"25","Hoofdstuk 25 — Waarom is verpakking belangrijk?","0","13","0","0","0","0","0","0","5","0","0","0","0","0","5","1"
"26","Hoofdstuk 26 — Waarom hangt voedselkwaliteit af van logistiek?","0","0","0","0","0","0","0","0","13","0","0","0","0","0","14","0"
"27","Hoofdstuk 27 — Wat gebeurt er met voedsel nadat het de consument heeft bereikt?","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Hoofdstuk 28 — Hoe gebruikt het menselijk lichaam voedsel?","0","36","0","0","0","0","0","7","7","0","0","0","0","0","7","0"
